"property_type","state_name","surface_covered_in_m2","rooms","price"
"1","16",59,1,435000
"2","2",260,3,1700000
"1","16",75,1,200000
"2","16",64,1,225000
"2","16",114,2,530000
"1","16",52,2,349500
"2","16",90,1,350000
"1","16",58,2,385000
"1","16",91,3,585000
"2","16",750,3,5200000
"2","16",60,2,149000
"1","16",56,1,230000
"1","16",105,1,700000
"1","16",211,8,1600000
"2","16",240,1,500000
"1","16",115,1,550000
"2","16",54,2,250000
"2","16",260,4,890000
"2","16",160,3,450000
"1","16",27,1,225000
"1","16",160,3,530000
"2","16",64,1,160000
"2","16",66,1,280000
"2","16",66,2,290000
"1","16",63,1,271000
"1","17",54,7,180000
"2","16",300,3,975000
"1","12",90,1,500000
"1","16",70,1,320000
"1","16",2400,1,200000
"2","16",62,1,215000
"2","16",90,1,250000
"1","16",64,2,420000
"2","16",170,1,550000
"2","16",300,2,1975000
"1","16",45,1,565000
"1","16",53,1,370000
"1","16",65,5,213000
"1","11",54,1,219000
"4","15",175,13,882440
"1","2",107,3,400000
"2","16",300,3,1050000
"1","16",100,3,320000
"2","16",129,1,180000
"2","16",465,4,910000
"1","16",51,2,250000
"2","16",90,2,480000
"2","16",112,2,550000
"2","16",207,2,790000
"1","13",166,1,737000
"1","13",150,1,1250000
"1","16",42,2,103250
"2","16",113,2,559500
"2","16",137,1,395000
"2","16",278,2,350000
"1","16",120,1,750000
"1","16",379,5,8541675
"1","16",161,2,3180000
"2","16",151,1,650000
"1","15",95,1,450000
"1","16",169,1,1690000
"2","16",142,2,775000
"2","10",90,2,160000
"3","16",200,4,1160000
"2","16",111,3,480000
"2","16",830,5,2500000
"2","16",120,1,290000
"2","16",85,1,210000
"1","16",52,1,230000
"2","16",203,2,764959
"1","16",87,1,670000
"1","16",46,2,135000
"1","16",75,1,550000
"1","16",39,1,145000
"2","11",300,4,950000
"1","2",400,2,240000
"1","16",70,2,300000
"2","16",400,1,1800000
"1","16",200,1,1200000
"1","16",54,1,545000
"1","16",80,1,590000
"1","16",81,2,696000
"2","16",87,1,330000
"1","16",52,1,215000
"2","15",150,1,710200
"1","16",92,1,750000
"1","16",63,1,480000
"1","13",160,2,1450000
"2","16",230,3,540000
"2","3",87,2,140000
"2","16",110,3,375000
"2","16",170,1,450000
"2","16",75,1,300000
"1","6",147,3,840000
"4","21",45,1,331034
"2","13",190,2,1790000
"2","16",290,3,1350000
"1","16",137,1,550000
"2","16",100,1,355000
"1","16",61,1,1090000
"1","16",49,1,341000
"1","16",64,1,270000
"2","16",123,1,600000
"1","16",97,2,490000
"1","16",67,2,296000
"1","16",54,1,285000
"1","6",282,4,2000000
"2","16",90,1,580000
"1","16",92,2,380000
"2","16",64,1,430000
"2","11",382,4,1799000
"1","16",145,1,1000000
"2","16",195,1,650000
"2","3",110,3,506900
"1","16",54,1,300000
"1","16",75,1,580000
"2","16",160,3,580000
"1","8",360,3,1800000
"1","8",80,1,340000
"1","8",76,1,440000
"1","11",77,2,643370
"2","16",108,2,490000
"1","16",115,1,975000
"1","13",137,1,949990
"2","16",380,4,1100000
"2","16",190,2,690000
"2","16",76,2,348248
"1","16",83,2,477000
"1","16",200,3,1550000
"1","16",65,2,260000
"1","16",50,1,330000
"2","13",250,3,690000
"2","16",140,3,400000
"1","11",60,1,165000
"1","14",73,1,788000
"1","16",144,3,720000
"1","15",115,2,1250000
"1","16",140,2,1400000
"2","16",900,6,4500000
"1","13",660,4,16000000
"1","16",99,2,900000
"2","16",100,1,774000
"1","16",96,2,550000
"1","16",94,1,432000
"1","16",118,2,1140000
"1","16",80,2,250000
"2","16",120,1,405000
"2","16",240,1,1060000
"1","16",76,2,449000
"2","16",108,2,470000
"1","16",50,1,430000
"1","16",75,3,280000
"1","16",200,2,1000000
"2","16",70,1,285000
"2","16",70,2,295000
"1","16",219,3,3691400
"1","16",67,2,264000
"1","16",124,1,1070000
"2","16",210,2,650000
"1","16",60,1,275000
"2","16",96,2,600000
"1","16",55,2,380000
"1","11",78,3,180000
"1","12",370,4,4173000
"2","16",150,2,700000
"2","16",158,3,650000
"1","16",96,3,450000
"2","16",160,3,320000
"2","16",254,1,730000
"1","11",63,1,320000
"1","23",151,2,649000
"1","16",128,5,480000
"1","16",63,3,388000
"2","16",97,1,649000
"2","16",170,1,300000
"1","16",82,2,680000
"1","15",70,1,500000
"1","16",65,1,372000
"1","16",76,3,346000
"2","16",60,1,297000
"1","8",80,1,444500
"1","16",87,2,650000
"1","16",170,1,750000
"1","16",92,1,630000
"2","5",200,2,850000
"1","16",54,1,240000
"2","16",242,1,499000
"1","14",76,1,532335
"2","16",240,2,960000
"2","16",105,1,430000
"1","16",68,1,460000
"1","16",92,1,540000
"1","16",100,1,774980
"1","16",53,1,260000
"1","16",105,1,1325000
"2","16",150,2,698000
"1","16",80,1,745000
"1","16",63,2,286000
"4","15",836869,11,3600000
"1","16",82,1,636000
"2","16",289,4,1700000
"2","16",252,4,1200000
"1","16",125,3,640000
"1","16",64,2,318000
"2","16",100,2,300000
"2","16",225,7,700000
"2","16",70,1,340000
"2","16",130,1,1010000
"1","16",87,1,700000
"1","16",106,2,870000
"1","16",45,1,360000
"1","16",51,3,352000
"1","16",165,3,1400000
"1","16",160,1,895000
"1","16",75,1,340000
"1","10",85,1,445030
"1","16",100,3,580000
"1","5",80,2,395000
"1","5",240,4,860000
"1","13",65,1,680000
"1","16",70,1,410000
"2","16",100,1,530000
"1","16",54,1,280000
"1","16",202,9,1500000
"1","16",56,2,341000
"1","16",47,2,217250
"1","16",72,2,546000
"2","16",320,2,730000
"1","16",81,1,900000
"2","16",100,2,320000
"2","16",431,3,795000
"2","16",63,1,285000
"2","16",180,5,1300000
"1","16",72,6,650000
"1","16",82,1,350000
"1","8",77,1,462000
"1","16",90,1,320000
"1","16",105,3,345000
"1","3",192,3,895000
"4","11",260,6,1200000
"2","16",300,6,2500000
"1","13",55,1,255000
"1","13",149,1,1200000
"1","16",124,1,800000
"2","16",87,1,450000
"2","16",140,1,598000
"1","16",86,2,280000
"1","16",56,2,224000
"2","16",68,1,295000
"1","15",75,1,130000
"2","16",358,5,1750000
"2","16",65,1,320000
"1","16",68,3,410000
"1","16",50,5,230000
"1","16",335,13,960000
"2","16",100,1,399000
"1","16",50,1,240000
"1","16",75,1,430000
"1","16",107,1,640000
"1","16",254,3,1800000
"1","16",60,2,293000
"2","16",250,4,790000
"2","16",160,3,2000000
"1","16",40,1,239000
"1","16",35,1,410000
"2","16",238,3,990000
"1","16",82,2,599000
"1","16",326,1,5300000
"1","16",320,3,5000000
"1","16",350,3,980000
"2","16",55,2,320000
"1","16",67,2,265000
"1","16",83,1,400000
"1","16",80,2,276000
"1","16",72,2,478900
"2","16",350,4,990000
"2","16",208,2,620000
"1","16",67,1,359000
"1","16",55,1,225000
"1","16",77,2,183000
"1","16",56,2,170000
"1","16",185,1,1600000
"1","16",126,1,960000
"1","16",87,1,690000
"2","16",98,1,230000
"1","14",54,1,163500
"1","23",42,2,124000
"4","13",25,1,200000
"1","16",260,2,2600000
"2","16",110,3,360000
"2","16",303,3,817083
"1","16",150,3,980000
"2","16",480,4,1400000
"2","16",320,4,1350000
"1","16",57,1,295000
"2","16",101,1,530000
"1","2",83,2,575000
"1","8",77,1,495600
"1","11",31,1,157000
"1","16",48,2,600000
"1","16",60,1,380000
"2","15",180,2,750000
"1","16",75,1,510000
"1","16",220,2,1380000
"1","11",58,1,210000
"1","16",97,2,340000
"2","16",72,1,510000
"2","16",100,1,1400000
"1","16",70,2,450000
"2","16",183,3,1100000
"2","16",140,1,480000
"1","16",46,1,220000
"2","16",140,1,750000
"1","8",86,1,510000
"1","16",55,2,255000
"1","11",48,1,129900
"4","16",54,1,330000
"2","16",267,1,1170000
"1","13",123,1,1048000
"2","16",192,1,1000000
"2","16",186,1,400000
"1","16",52,1,164000
"1","13",47,1,260000
"1","16",92,2,640000
"1","16",75,1,270000
"1","16",96,1,490000
"1","16",72,1,288000
"4","16",251,9,1500000
"1","16",141,2,695000
"1","16",158,3,950000
"1","16",136,2,1339000
"1","16",69,2,298000
"1","16",75,1,440000
"1","16",126,1,620000
"2","16",384,1,2380000
"1","16",50,1,265000
"1","16",47,1,180000
"1","16",82,1,600000
"1","16",86,1,520000
"1","16",108,1,930000
"1","16",118,2,1225000
"4","16",35,1,250000
"1","16",250,3,1800000
"1","8",93,1,620000
"1","11",46,1,134990
"4","16",37,1,460000
"2","16",101,2,279000
"1","16",113,10,1280000
"1","16",168,3,7500000
"1","16",78,1,450000
"2","16",100,1,450000
"2","16",1200,8,3500000
"1","16",50,2,350000
"1","16",43,5,590000
"1","16",200,2,1580000
"1","16",57,2,195000
"2","10",56,2,115000
"2","16",190,3,457000
"1","16",60,2,255000
"2","16",97,1,1000000
"2","16",253,2,600000
"1","8",85,1,395000
"2","16",227,2,510000
"1","16",106,2,700000
"1","16",184,2,1840000
"1","16",83,1,245000
"1","16",134,1,1649300
"1","16",70,1,400000
"1","16",45,2,240000
"1","16",60,1,310000
"1","8",90,3,380000
"1","16",64,1,320000
"1","16",56,1,160000
"1","16",103,3,510000
"1","16",109,3,910000
"1","8",110,2,670000
"1","16",300,4,600000
"2","14",118,1,330000
"1","13",62,1,420000
"1","16",70,2,360000
"2","16",55,1,90000
"2","16",128,1,258000
"2","16",280,2,2600000
"1","16",46,1,260000
"2","16",160,3,600000
"2","16",230,2,690000
"2","16",100,2,439000
"1","16",62,1,450000
"1","16",61,1,425000
"1","16",223,1,915000
"1","5",100,3,550000
"1","15",123,2,550000
"1","15",86,1,205000
"2","16",50,3,200000
"1","8",166,1,430000
"2","16",120,2,700000
"2","16",175,1,750000
"1","16",136,1,450000
"1","10",102,2,320000
"2","11",282,4,1833910
"2","16",135,1,420000
"1","16",45,1,255000
"2","16",350,2,850000
"1","16",45,1,259000
"1","16",68,3,550000
"1","16",118,2,1100000
"2","15",118,3,280000
"2","16",182,3,520000
"1","16",38,1,200000
"1","16",30,1,230000
"1","16",103,1,530000
"1","16",130,2,910000
"1","16",51,1,241500
"2","16",144,1,310000
"1","16",54,1,690000
"1","16",58,2,400000
"2","16",68,2,151546
"2","16",60,1,255000
"2","16",70,1,145000
"1","14",51,1,595000
"1","13",115,1,750000
"1","16",50,2,335000
"2","16",142,1,389150
"4","13",40,1,2000000
"1","16",60,1,210000
"1","16",45,1,150000
"1","16",98,2,410000
"1","16",50,1,160000
"1","16",105,3,300000
"2","16",90,2,320000
"2","16",78,1,240000
"2","16",74,6,250000
"1","16",140,1,821930
"1","16",40,1,198000
"1","16",72,2,340000
"1","16",70,1,190000
"2","16",100,2,330000
"1","16",95,2,300000
"1","16",150,3,600000
"2","16",110,2,300000
"1","16",48,1,145000
"1","16",96,1,430000
"1","16",65,1,160000
"2","16",45,1,132000
"2","16",160,2,640000
"2","16",235,4,1050000
"2","16",180,2,1650000
"1","16",65,2,450000
"2","16",54,1,195000
"2","16",68,1,265000
"2","16",67,1,265000
"2","16",270,3,950000
"2","16",63,1,315000
"2","16",200,2,650000
"1","16",59,1,278000
"2","16",103,1,500000
"2","16",256,2,600000
"2","16",280,2,1200000
"2","16",138,2,450000
"2","16",50,1,140000
"2","16",72,3,175000
"1","16",86,2,650000
"1","16",70,3,380000
"1","16",80,3,620000
"1","13",48,1,525000
"1","16",76,1,350000
"1","16",65,1,510000
"1","16",178,3,1800000
"1","16",92,1,760000
"1","13",75,1,160000
"1","16",120,3,1400000
"2","16",130,1,430000
"1","16",69,1,450000
"1","16",140,3,1200000
"2","16",250,1,1200000
"1","16",60,1,290000
"1","16",105,1,620000
"2","16",89,2,264000
"2","11",180,2,580000
"1","16",47,1,270000
"2","16",123,1,480000
"2","16",142,1,400000
"2","16",170,1,530000
"1","16",73,1,350000
"2","16",170,2,480000
"2","16",120,1,371000
"1","16",76,1,329000
"1","16",38,1,210000
"1","16",60,1,300000
"2","16",123,1,425000
"2","16",183,1,560000
"1","16",112,3,639000
"1","16",60,1,279000
"1","16",50,1,140000
"1","16",231,4,2400000
"1","16",94,1,317000
"2","16",250,1,650000
"1","16",60,1,308000
"2","16",62,3,205000
"2","16",75,1,215000
"1","11",80,1,497277
"2","16",80,1,185000
"2","16",225,3,750000
"1","2",134,1,900000
"1","2",231,2,750000
"2","2",1,2,900000
"1","8",46,1,165000
"1","10",68,1,280030
"1","13",66,1,310000
"2","16",163,2,650000
"2","16",280,1,900000
"1","16",55,1,340000
"1","16",240,2,2200000
"2","16",70,2,230000
"1","16",52,1,320000
"2","16",160,1,700000
"4","16",38,1,626456
"2","14",294,3,1650000
"1","13",70,1,685000
"2","16",120,3,990000
"1","16",194,2,1800000
"1","14",42,1,160000
"1","15",221,2,2950000
"1","16",82,1,270000
"1","16",54,1,235000
"2","16",70,1,290000
"2","16",263,2,920000
"1","8",100,1,1100000
"1","16",94,1,850000
"2","3",106,12,250000
"1","3",65,1,270000
"2","8",160,1,640000
"1","11",114,2,1127000
"1","11",59,1,552500
"1","16",47,1,350000
"1","16",270,1,1490000
"2","16",142,1,960000
"1","16",315,2,1790000
"1","16",155,1,1450000
"2","16",320,1,2235000
"1","16",250,2,1690000
"1","16",196,2,1250000
"1","16",184,2,1100000
"1","16",80,1,505000
"1","16",89,1,690000
"1","16",164,1,1500000
"2","16",140,1,960000
"1","16",67,1,450000
"2","16",330,1,940000
"1","16",79,1,490000
"1","16",50,1,650000
"2","16",564,4,5500000
"1","16",115,1,650000
"1","16",950,2,4900000
"1","16",30,1,360000
"1","16",191,3,1900000
"1","16",192,1,4930000
"1","16",106,1,850000
"2","16",90,2,450000
"2","16",105,1,480000
"2","16",142,1,450000
"4","8",269,1,2320350
"1","16",317,4,1850000
"1","16",82,2,660000
"1","16",120,1,850000
"1","16",49,1,375000
"1","16",65,1,375000
"2","16",343,2,1380000
"1","13",188,2,843304
"2","16",245,1,1100000
"1","8",70,1,290000
"1","16",72,2,520000
"2","16",75,2,380000
"1","16",78,2,645000
"1","16",51,1,400000
"2","8",120,2,969000
"1","16",130,4,1450000
"1","16",209,16,2660000
"1","16",52,1,150000
"1","16",124,7,990000
"2","16",240,2,850000
"1","16",55,1,355000
"1","16",48,2,240000
"2","16",280,2,2000000
"2","16",500,4,3500000
"1","16",50,2,310000
"2","16",150,2,1500000
"2","16",360,2,1200000
"1","16",73,1,290990
"1","16",125,2,1699000
"2","16",741,4,3400000
"2","16",1600,4,8940000
"2","16",500,5,7500000
"2","16",361,2,2700000
"1","16",53,1,191000
"2","16",59,1,330000
"2","16",200,1,850000
"1","16",71,1,340000
"2","16",258,1,550000
"1","2",50,1,180000
"2","16",160,1,572000
"1","8",110,1,330000
"1","8",80,1,180000
"1","8",68,1,170000
"1","16",91,3,280000
"2","16",70,2,260000
"1","16",122,1,590000
"1","16",40,1,172000
"1","16",162,3,900000
"1","16",102,1,805000
"2","16",300,4,2800000
"2","13",198,1,850000
"2","16",380,2,4000000
"1","16",75,1,360000
"1","16",181,3,1900000
"2","16",80,1,400000
"2","16",190,2,800000
"1","4",180,1,1000000
"1","3",425,2,700000
"1","16",57,1,205000
"1","16",74,1,270000
"2","8",110,1,250000
"1","13",47,1,550000
"2","16",85,1,495000
"1","16",100,1,850000
"1","16",84,1,520000
"1","16",125,1,750000
"1","16",60,3,235000
"1","16",140,3,630000
"2","16",400,4,1600000
"2","8",72,1,350000
"3","16",204,3,990000
"2","8",277,3,920000
"1","8",84,1,265000
"1","16",118,2,450000
"1","16",95,2,530000
"2","16",550,3,3998000
"2","16",130,2,435000
"4","16",136,2,460000
"1","14",22,1,225000
"2","16",110,2,450000
"2","14",610,5,4200000
"1","16",67,1,290000
"1","13",80,1,310000
"1","16",55,2,1350000
"1","16",77,2,295000
"1","16",100,2,530000
"1","16",205,4,648000
"1","16",50,1,355000
"2","16",115,1,650000
"1","16",55,2,415000
"1","16",60,2,400000
"2","16",160,1,850000
"1","16",95,1,350000
"2","16",250,1,440000
"1","16",223,3,1300000
"1","16",84,1,420000
"1","16",94,1,820000
"1","16",111,1,765000
"1","16",115,3,600000
"1","16",45,1,110000
"1","16",60,1,320000
"1","3",50,1,140000
"1","16",70,2,880000
"1","16",50,1,266000
"1","8",74,1,450000
"2","6",186,3,350000
"2","16",259,3,890000
"2","16",298,3,970000
"1","9",180,5,450000
"1","16",107,3,588940
"1","16",80,2,250000
"1","16",108,1,990000
"1","16",151,3,1270000
"2","13",200,1,495000
"2","16",360,2,1200000
"1","16",80,1,598000
"1","16",67,1,487000
"1","16",58,2,253000
"2","16",200,3,1300000
"1","15",52,1,280000
"1","13",45,1,185000
"2","16",80,1,287000
"2","16",75,2,309000
"4","16",43,1,258000
"2","16",60,1,215000
"1","16",53,2,320000
"1","14",80,1,260000
"2","16",181,1,530000
"2","16",1150,3,19200000
"1","16",94,2,430000
"2","16",50,1,165000
"1","16",194,2,530000
"1","16",97,3,348000
"2","16",123,1,270000
"1","16",76,1,430000
"2","16",340,2,1000000
"2","16",240,2,1200000
"2","16",132,4,419000
"1","16",88,2,475000
"2","16",42,1,275000
"2","16",230,2,1200000
"1","8",134,1,470000
"1","4",130,4,1350000
"2","16",235,3,694000
"1","8",85,1,220000
"2","6",19475,3,115000
"2","8",110,2,520000
"1","8",80,1,380000
"1","16",50,2,320000
"1","16",93,2,450000
"2","11",180,2,448000
"2","16",1000,2,12000000
"1","16",123,1,450000
"1","16",100,2,380000
"1","16",168,2,1680000
"2","15",100,2,350000
"1","16",106,2,930000
"4","16",82,1,900000
"1","16",65,2,450000
"1","14",61,1,445000
"2","15",150,1,628000
"2","15",90,1,170000
"2","16",59,1,140000
"1","8",45,1,200000
"1","14",63,1,520000
"2","16",404,2,1600000
"1","16",57,1,180200
"1","16",62,1,148000
"2","16",212,1,910000
"1","16",76,2,370000
"2","16",550,8,1380000
"1","16",220,3,1100000
"2","16",130,1,440000
"1","16",74,2,400000
"1","16",250,1,1800000
"1","5",100,3,300000
"1","16",97,2,850000
"1","16",72,1,400000
"2","16",83,1,640000
"1","16",81,1,640000
"2","16",150,3,250000
"2","16",299,2,598000
"2","16",100,1,240000
"2","16",340,2,960000
"2","16",264,1,250000
"2","16",83,2,250000
"1","16",99,2,290000
"1","16",98,2,190000
"2","11",235,3,1070000
"1","11",33,1,188900
"1","8",106,1,670000
"1","8",600,1,580000
"1","16",115,3,480000
"2","16",307,3,1470000
"2","16",100,1,530000
"1","16",140,3,780000
"1","16",48,1,255000
"1","16",168,2,1640000
"1","16",95,2,873000
"2","15",94,1,270000
"1","16",160,2,2700000
"1","16",58,1,280000
"3","16",55,2,145000
"1","8",216,2,2250000
"1","16",61,1,350000
"1","8",90,1,404250
"1","16",0,9,790000
"1","13",113,10,989000
"1","16",54,1,620000
"1","1",70,3,310000
"2","3",421,3,1600000
"2","3",117,2,450000
"2","11",86,1,250000
"2","16",600,4,3400000
"2","16",236,3,540000
"1","16",57,2,200000
"2","3",90,3,350000
"2","16",70,2,320000
"3","16",260,3,880000
"2","16",390,3,1640000
"2","16",168,3,750000
"1","16",48,1,270000
"1","16",60,2,350000
"1","16",38,1,449999
"1","16",65,1,248000
"2","16",93,2,540000
"4","16",40,1,213200
"1","8",178,12,820000
"2","16",97,1,235000
"2","16",530,4,1790000
"2","16",150,2,550000
"2","16",115,1,421000
"1","16",135,2,1300000
"1","16",214,2,3400000
"1","16",53,1,450000
"1","16",60,1,290000
"4","16",87,1,899999
"1","16",110,1,945000
"1","16",45,2,224000
"2","16",89,2,330000
"2","16",325,3,780000
"2","16",360,2,1850000
"2","16",260,1,800000
"2","16",70,5,310000
"2","20",85,1,210000
"1","20",69,1,245000
"2","16",46,1,170000
"1","16",281,2,650000
"1","16",52,1,370000
"2","16",110,2,495000
"1","16",363,3,4500000
"2","16",140,1,490000
"1","11",76,3,318000
"2","16",73,1,280000
"1","8",90,2,380000
"1","15",127,1,1705000
"1","16",58,1,307000
"1","8",85,1,525000
"2","16",270,3,970000
"2","16",106,2,480000
"1","16",65,1,320000
"1","16",68,1,278000
"2","16",140,1,91000
"1","16",95,3,480000
"1","16",77,2,275000
"1","16",73,1,252000
"1","16",46,1,180000
"1","16",44,1,140000
"1","16",83,2,321023
"1","16",50,1,220000
"1","16",94,3,395000
"1","16",300,4,1000000
"2","16",75,1,342000
"2","16",75,1,279000
"2","16",140,1,350000
"1","16",98,2,840000
"2","16",202,2,820000
"1","16",90,2,570000
"1","16",71,1,515000
"1","16",71,1,479000
"1","16",57,1,402000
"1","15",128,2,1750000
"1","16",61,1,425000
"2","16",189,2,1240000
"1","9",71,1,195500
"2","16",330,2,1450000
"2","16",94,2,250000
"1","16",47,2,180000
"1","8",52,1,230000
"1","5",65,2,325000
"2","16",190,1,1060000
"1","8",105,1,750000
"1","8",175,10,620000
"2","13",80,1,249000
"2","16",200,1,640000
"2","16",400,2,1700000
"2","16",120,2,477000
"1","16",140,2,780000
"1","16",194,2,1750000
"1","16",71,1,725000
"1","16",138,1,975000
"1","16",47,5,165000
"1","16",79,2,360000
"1","16",58,2,563328
"1","16",43,1,530000
"1","16",85,1,490000
"1","16",50,1,255000
"1","16",86,1,450000
"1","16",85,2,425000
"1","16",55,1,280000
"2","16",120,2,750000
"2","16",573,4,3200000
"1","16",44,1,250000
"1","16",65,2,330000
"1","16",150,2,640000
"1","16",70,2,320000
"2","16",111,1,590000
"2","16",143,6,710000
"1","16",83,1,500000
"1","16",47,1,198000
"1","16",55,1,240000
"1","16",84,1,450000
"1","16",86,2,450000
"1","16",42,1,278000
"2","16",316,1,580000
"1","16",120,1,650000
"2","16",140,2,380000
"1","16",155,1,980000
"1","16",80,2,480000
"1","16",156,3,960000
"2","16",206,2,550000
"1","16",48,1,275000
"2","16",230,1,585000
"1","16",56,1,209000
"2","16",107,1,402000
"1","16",135,2,1600000
"1","16",90,4,560000
"2","16",68,1,190000
"1","11",64,1,258000
"4","11",48,1,523569
"1","11",99,1,580308
"1","5",150,4,2800000
"1","5",170,4,1780000
"1","13",61,1,220000
"1","13",80,1,1190000
"1","13",145,2,1240000
"1","13",145,1,2500000
"1","13",127,1,1550000
"1","16",154,1,1380000
"1","16",95,1,520000
"3","16",100,2,300000
"1","5",220,4,950000
"1","5",133,3,400000
"1","5",141,3,830000
"1","5",140,3,685000
"1","5",100,3,350000
"1","5",260,4,1090000
"2","16",140,2,349000
"2","16",300,4,420000
"1","13",152,1,750000
"1","13",139,1,620000
"2","13",170,1,1350000
"4","13",38,2,800000
"1","13",50,1,1000000
"2","13",306,1,2200000
"1","13",300,1,1500000
"2","16",550,2,1200000
"2","16",190,2,900000
"1","16",68,1,425000
"1","16",58,1,795000
"1","16",95,1,890000
"1","16",74,2,620000
"1","16",188,2,1800000
"1","16",198,3,2300000
"1","16",226,4,2500000
"1","5",110,3,530000
"1","16",106,1,470000
"1","16",55,1,245000
"1","14",163,2,1750000
"2","13",653,1,3200000
"1","16",50,1,160000
"2","16",50,1,130000
"1","16",85,2,340000
"1","16",114,3,450000
"1","16",91,2,411300
"1","16",128,1,1450000
"1","16",76,1,395000
"1","16",55,2,250000
"2","16",385,2,1500000
"1","8",54,2,142000
"1","16",138,3,1148000
"1","16",50,1,380000
"1","16",48,1,335000
"1","16",192,1,1500000
"1","16",150,11,1200000
"1","16",68,1,530000
"2","16",133,1,790000
"1","16",65,1,365000
"1","3",115,7,1250000
"1","6",94,3,450000
"1","8",95,1,410000
"1","8",64,1,230000
"1","16",94,2,450000
"1","16",76,2,380000
"1","16",307,1,6900000
"2","16",470,4,1600000
"4","16",220,4,1000000
"1","16",50,1,210000
"1","16",57,1,410000
"1","14",45,1,180000
"1","16",120,1,370000
"1","16",63,2,500000
"2","8",750,4,3000000
"1","16",228,3,445000
"1","15",94,2,135000
"1","16",120,1,750000
"2","16",145,2,585000
"2","16",216,3,800000
"2","16",650,4,2700000
"2","13",300,1,600000
"2","13",20,2,260000
"2","16",170,1,820000
"1","16",137,1,1200000
"2","16",2300,5,17500000
"1","16",68,1,580000
"1","16",264,2,2700000
"1","16",42,1,495000
"1","16",76,1,450000
"1","16",50,1,220000
"1","2",75,2,240000
"2","16",90,1,265000
"2","3",80,1,185000
"2","16",315,2,2200000
"2","16",85,1,340000
"1","16",270,2,3400000
"1","16",60,1,300000
"3","16",180,3,700000
